frame,timestamp_s,detected,cx_px,cy_px,cx_raw_px,cy_raw_px,mx,my,speed_kmh,speed_ms,accel_ms2,angle_deg
64,2.56,True,1452.1,688.6,1452.1,688.6,145.214,68.857,0.0,0.0,0.0,0.0
65,2.6,True,1449.1,691.4,1446.2,694.0,144.908,69.14,37.51,10.42,0.0,137.2
66,2.64,False,1448.8,691.6,,,144.884,69.162,20.22,0.814,-120.077,137.5
67,2.68,False,1448.6,691.8,,,144.861,69.183,14.42,0.779,-40.32,137.6
68,2.72,True,1434.2,705.6,1424.6,714.8,143.422,70.561,55.64,49.81,286.284,136.2
69,2.76,False,1431.4,708.3,,,143.14,70.831,51.54,9.76,-28.476,136.2
70,2.8,False,1428.6,711.0,,,142.857,71.1,51.07,9.761,-3.294,136.5
71,2.84,False,1425.8,713.7,,,142.575,71.369,57.49,9.743,44.646,136.4
72,2.88,False,1422.9,716.4,,,142.293,71.639,63.96,9.76,44.909,136.2
73,2.92,False,1420.1,719.1,,,142.011,71.908,35.11,9.743,-200.333,136.4
74,2.96,False,1417.3,721.8,,,141.729,72.178,35.11,9.76,-0.0,136.2
75,3.0,False,1414.5,724.5,,,141.447,72.447,35.1,9.743,-0.091,136.4
76,3.04,False,1411.6,727.2,,,141.164,72.717,35.13,9.778,0.177,136.3
77,3.08,False,1408.8,729.9,,,140.882,72.986,35.11,9.743,-0.086,136.4
78,3.12,False,1406.0,732.6,,,140.6,73.256,35.13,9.76,0.086,136.2
84,3.36,True,1315.8,786.7,1305.9,792.5,131.577,78.67,217.51,263.066,1266.528,149.0
85,3.4,False,1306.7,793.1,,,130.671,79.307,230.43,27.688,89.725,144.9
86,3.44,False,1297.6,799.4,,,129.764,79.943,243.33,27.694,89.578,145.0
87,3.48,False,1288.6,805.8,,,128.858,80.58,256.25,27.688,89.725,144.9
88,3.52,False,1279.5,812.2,,,127.952,81.217,269.15,27.688,89.638,144.9
89,3.56,False,1270.5,818.5,,,127.046,81.853,99.67,27.674,-1176.961,144.9
90,3.6,False,1261.4,824.9,,,126.14,82.49,99.67,27.688,0.0,144.9
91,3.64,False,1252.3,831.3,,,125.234,83.127,99.67,27.688,-0.03,144.9
92,3.68,False,1243.3,837.6,,,124.328,83.763,99.66,27.674,-0.072,144.9
93,3.72,False,1234.2,844.0,,,123.422,84.4,99.66,27.688,0.0,144.9
94,3.76,False,1225.2,850.4,,,122.516,85.037,99.67,27.688,0.072,144.9
200,8.0,True,1416.6,693.7,1477.6,644.1,141.66,69.372,524.98,618.408,2953.598,-39.3
201,8.04,False,1416.3,693.0,,,141.628,69.298,506.5,2.016,-128.362,-113.4
202,8.08,True,1456.6,668.8,1500.3,643.6,145.661,66.881,571.21,117.545,449.357,-30.9
203,8.12,False,1458.0,667.1,,,145.796,66.711,555.18,5.427,-111.305,-51.5
204,8.16,False,1459.3,665.4,,,145.932,66.54,539.18,5.462,-111.129,-51.5
205,8.2,False,1460.7,663.7,,,146.067,66.37,97.83,5.427,-3064.903,-51.5
206,8.24,False,1462.0,662.0,,,146.203,66.2,100.3,5.443,17.135,-51.3
207,8.28,False,1463.4,660.3,,,146.338,66.029,19.59,5.447,-560.492,-51.7
208,8.32,False,1464.7,658.6,,,146.474,65.859,19.6,5.443,0.078,-51.3
209,8.36,False,1466.1,656.9,,,146.609,65.688,19.59,5.447,-0.078,-51.7
210,8.4,False,1467.4,655.2,,,146.745,65.518,19.6,5.443,0.078,-51.3
211,8.44,False,1468.8,653.5,,,146.88,65.347,19.6,5.447,0.02,-51.7
212,8.48,False,1470.2,651.8,,,147.016,65.177,19.6,5.443,-0.02,-51.3
736,29.44,True,1523.7,661.0,1565.4,669.7,152.365,66.099,113.38,135.697,651.272,9.8
737,29.48,True,1544.2,664.7,1573.3,673.2,154.421,66.472,147.07,52.239,233.962,10.3
738,29.52,False,1547.8,663.5,,,154.78,66.353,149.96,9.455,20.063,-18.3
739,29.56,False,1551.4,662.3,,,155.138,66.234,152.83,9.431,19.924,-18.4
740,29.6,False,1555.0,661.1,,,155.497,66.115,155.72,9.455,20.063,-18.3
741,29.64,False,1558.6,660.0,,,155.856,65.995,64.83,9.463,-631.169,-18.5
742,29.68,False,1562.1,658.8,,,156.215,65.876,34.03,9.455,-213.919,-18.3
743,29.72,False,1565.7,657.6,,,156.573,65.757,34.01,9.431,-0.119,-18.4
744,29.76,False,1569.3,656.4,,,156.932,65.638,34.03,9.455,0.119,-18.3
745,29.8,False,1572.9,655.2,,,157.291,65.519,34.03,9.455,0.0,-18.3
746,29.84,False,1576.5,654.0,,,157.65,65.4,34.02,9.455,-0.039,-18.3
747,29.88,False,1580.1,652.8,,,158.008,65.28,34.01,9.439,-0.079,-18.5
