frame,timestamp_s,player_id,cx_px,cy_px,mx,my,speed_kmh,distance_m
0,0.0,1,822.7,1009.0,82.274,100.903,0.0,0.0
0,0.0,2,1161.3,730.4,116.126,73.036,0.0,0.0
0,0.0,3,390.4,949.1,39.042,94.911,0.0,0.0
0,0.0,4,1494.6,479.5,149.461,47.949,0.0,0.0
0,0.0,5,1096.5,577.4,109.649,57.741,0.0,0.0
0,0.0,6,1319.2,1026.0,131.923,102.602,0.0,0.0
0,0.0,7,860.3,486.7,86.025,48.675,0.0,0.0
0,0.0,8,1542.2,588.3,154.216,58.833,0.0,0.0
0,0.0,9,310.8,759.6,31.081,75.964,0.0,0.0
0,0.0,10,1460.9,464.3,146.087,46.428,0.0,0.0
0,0.0,11,1142.2,493.9,114.22,49.39,0.0,0.0
0,0.0,12,1379.7,515.2,137.966,51.524,0.0,0.0
0,0.0,13,1242.7,500.5,124.268,50.055,0.0,0.0
1,0.04,1,822.7,1009.0,82.275,100.903,0.04,0.0
1,0.04,2,1161.3,730.4,116.125,73.037,0.06,0.0
1,0.04,3,390.4,949.0,39.044,94.902,0.41,0.009999999776482582
1,0.04,4,1494.6,479.6,149.462,47.958,0.41,0.009999999776482582
1,0.04,5,1096.5,577.5,109.648,57.746,0.23,0.009999999776482582
1,0.04,6,1319.2,1026.0,131.922,102.605,0.14,0.0
1,0.04,8,1542.2,588.3,154.217,58.834,0.06,0.0
1,0.04,7,860.3,486.8,86.026,48.678,0.14,0.0
1,0.04,9,310.8,759.6,31.079,75.959,0.24,0.009999999776482582
1,0.04,10,1460.8,464.6,146.083,46.458,1.36,0.029999999329447746
1,0.04,11,1142.2,494.0,114.219,49.396,0.27,0.009999999776482582
1,0.04,13,1242.7,500.6,124.265,50.062,0.34,0.009999999776482582
1,0.04,12,1379.7,515.3,137.966,51.528,0.18,0.0
2,0.08,2,1159.7,729.5,115.969,72.945,5.48,0.18000000715255737
2,0.08,1,818.6,1009.4,81.862,100.937,12.46,0.41999998688697815
2,0.08,5,1093.3,579.8,109.326,57.983,12.15,0.4000000059604645
2,0.08,11,1142.1,496.1,114.211,49.606,6.49,0.2199999988079071
2,0.08,10,1456.9,460.5,145.689,46.046,18.01,0.6000000238418579
2,0.08,8,1539.3,590.8,153.933,59.076,11.24,0.3700000047683716
2,0.08,6,1316.4,1022.1,131.644,102.213,14.51,0.47999998927116394
2,0.08,7,856.5,486.9,85.646,48.686,11.5,0.3799999952316284
2,0.08,9,307.0,760.7,30.7,76.072,12.03,0.4000000059604645
2,0.08,3,386.6,950.2,38.661,95.023,12.33,0.4099999964237213
2,0.08,13,1241.3,500.1,124.135,50.01,4.43,0.15000000596046448
2,0.08,12,1379.6,507.9,137.96,50.794,22.14,0.7400000095367432
2,0.08,4,1490.6,474.6,149.056,47.459,19.57,0.6499999761581421
3,0.12,10,1450.9,464.7,145.088,46.466,30.0,1.3300000429153442
3,0.12,2,1158.4,730.1,115.838,73.011,7.41,0.33000001311302185
3,0.12,1,815.1,1015.6,81.515,101.564,25.47,1.1299999952316284
3,0.12,5,1088.6,576.4,108.863,57.642,22.05,0.9800000190734863
3,0.12,8,1534.9,593.5,153.493,59.348,20.07,0.8899999856948853
3,0.12,6,1313.0,1022.8,131.299,102.279,18.79,0.8299999833106995
3,0.12,4,1486.1,481.4,148.613,48.138,32.92,1.4600000381469727
3,0.12,9,303.3,763.7,30.325,76.368,19.77,0.8799999952316284
3,0.12,7,852.7,487.5,85.265,48.746,17.3,0.7699999809265137
